# T1b · **行级**记账不一致清单（用例 | 行号 | 期望 | 实得 | 归类桶）
# 被测 shim 源 sha256 = 438D05BE3A6C8175255CF7291B7201D5B469B2B820ECF31285218DBDED02F698
# 测量对象（app-local 副本，应与权威一致）： PC=E75C7BD5F465EDE6 WB=E6216FE961A2BFB9 DWF=2F77DBDF5E7E2CD5 Provider=71BA86C6495347FE
# 条数 = 272（**无上限，未截断**）
A1_lat_words_w30 | 行#16 | 期望 Len=5 nl=0 ws=1 | 实得 Len=3 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_lat_words_w30 | 行#17 | 期望 Len=4 nl=0 ws=0 | 实得 Len=1 nl=0 ws=1 | 桶=行尾空白计数(ws)
A1_lat_words_w30 | 行#18 | 期望 Len=3 nl=0 ws=1 | 实得 Len=4 nl=0 ws=1 | 桶=行区间长度(Length)
A1_lat_words_w30 | 行#19 | 期望 Len=4 nl=0 ws=1 | 实得 Len=2 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_lat_words_w30 | 行#20 | 期望 Len=4 nl=0 ws=0 | 实得 Len=5 nl=0 ws=1 | 桶=行尾空白计数(ws)
A1_lat_words_w30 | 行#22 | 期望 Len=2 nl=1 ws=1 | 实得 Len=3 nl=0 ws=1 | 桶=硬断计数(nl)
A1_lat_words_w40 | 行#4 | 期望 Len=6 nl=0 ws=1 | 实得 Len=2 nl=0 ws=1 | 桶=行区间长度(Length)
A1_lat_words_w40 | 行#5 | 期望 Len=4 nl=0 ws=0 | 实得 Len=4 nl=0 ws=1 | 桶=行尾空白计数(ws)
A1_lat_words_w40 | 行#6 | 期望 Len=2 nl=0 ws=1 | 实得 Len=4 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_lat_words_w40 | 行#7 | 期望 Len=5 nl=0 ws=1 | 实得 Len=2 nl=0 ws=1 | 桶=行区间长度(Length)
A1_lat_words_w40 | 行#8 | 期望 Len=4 nl=0 ws=1 | 实得 Len=5 nl=0 ws=1 | 桶=行区间长度(Length)
A1_lat_words_w40 | 行#9 | 期望 Len=5 nl=0 ws=1 | 实得 Len=4 nl=0 ws=1 | 桶=行区间长度(Length)
A1_lat_words_w40 | 行#10 | 期望 Len=4 nl=0 ws=1 | 实得 Len=5 nl=0 ws=1 | 桶=行区间长度(Length)
A1_lat_words_w40 | 行#13 | 期望 Len=5 nl=0 ws=0 | 实得 Len=4 nl=0 ws=1 | 桶=行尾空白计数(ws)
A1_lat_words_w40 | 行#14 | 期望 Len=2 nl=0 ws=1 | 实得 Len=5 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_lat_words_w40 | 行#15 | 期望 Len=5 nl=0 ws=0 | 实得 Len=2 nl=0 ws=1 | 桶=行尾空白计数(ws)
A1_lat_words_w40 | 行#16 | 期望 Len=6 nl=0 ws=1 | 实得 Len=5 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_lat_words_w40 | 行#17 | 期望 Len=6 nl=0 ws=0 | 实得 Len=6 nl=0 ws=1 | 桶=行尾空白计数(ws)
A1_lat_words_w40 | 行#18 | 期望 Len=4 nl=1 ws=1 | 实得 Len=6 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_lat_words_w50 | 行#2 | 期望 Len=6 nl=0 ws=1 | 实得 Len=5 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_lat_words_w50 | 行#3 | 期望 Len=4 nl=0 ws=1 | 实得 Len=5 nl=0 ws=1 | 桶=行区间长度(Length)
A1_lat_words_w50 | 行#4 | 期望 Len=6 nl=0 ws=1 | 实得 Len=5 nl=0 ws=0 | 桶=行尾空白计数(ws)
A1_lat_words_w50 | 行#5 | 期望 Len=5 nl=0 ws=1 | 实得 Len=6 nl=0 ws=1 | 桶=行区间长度(Length)
A1_lat_words_w60 | 行#6 | 期望 Len=9 nl=0 ws=1 | 实得 Len=4 nl=0 ws=1 | 桶=行区间长度(Length)
A1_lat_words_w60 | 行#7 | 期望 Len=4 nl=0 ws=1 | 实得 Len=5 nl=0 ws=1 | 桶=行区间长度(Length)
A1_lat_words_w60 | 行#8 | 期望 Len=8 nl=0 ws=1 | 实得 Len=4 nl=0 ws=1 | 桶=行区间长度(Length)
A1_lat_words_w60 | 行#9 | 期望 Len=7 nl=0 ws=1 | 实得 Len=4 nl=0 ws=1 | 桶=行区间长度(Length)
A1_lat_words_w60 | 行#10 | 期望 Len=7 nl=0 ws=1 | 实得 Len=4 nl=0 ws=1 | 桶=行区间长度(Length)
A1_lat_words_w60 | 行#11 | 期望 Len=4 nl=0 ws=1 | 实得 Len=7 nl=0 ws=1 | 桶=行区间长度(Length)
A1_lat_words_w60 | 行#12 | 期望 Len=8 nl=0 ws=0 | 实得 Len=7 nl=0 ws=1 | 桶=行尾空白计数(ws)
A1_lat_words_w60 | 行#13 | 期望 Len=2 nl=1 ws=1 | 实得 Len=4 nl=0 ws=1 | 桶=硬断计数(nl)
